Spending Report
Time,Amount,Notes
2025-02-09 18:40:00,250.00,Groceries
2025-02-08 14:20:30,500.00,Doctor visit
2025-02-07 11:00:45,1200.00,New laptop
2025-02-06 08:15:20,100.00,Bus ticket
2025-02-05 20:30:10,50.00,Movie night
2025-02-04 19:45:50,300.00,Dinner
2025-02-03 07:50:30,700.00,Gym Membership
2025-02-02 21:10:15,500.00,Taxi
2025-02-01 14:20:00,400.00,Books
2025-01-31 17:35:40,150.00,Concert Ticket
2025-01-30 09:10:25,100.00,Coffee
2025-01-29 11:55:30,1200.00,Furniture
2025-01-28 22:20:10,800.00,Weekend Trip
2025-01-27 12:15:45,600.00,Clothes
2025-01-26 08:30:20,250.00,Parking
Total:,7100.00
